candidate,single_side_cost_bps,rebalance_date,sub_strategy,preset,allocation,sub_nav,nav_weight,holding_count,holdings_json,holdings_sha256
A,0,2023-12-29,growth,growth_value,0.5,706816.76513935148,0.50000000000000011,30,"[""AAL"", ""ALSN"", ""AMG"", ""AMP"", ""BKNG"", ""CF"", ""CNM"", ""CSL"", ""CTRA"", ""DAL"", ""DINO"", ""DOW"", ""EEFT"", ""EPR"", ""EQH"", ""EXPE"", ""GPK"", ""HBAN"", ""KNSL"", ""MCHP"", ""MOH"", ""MOS"", ""MUSA"", ""PFE"", ""PFG"", ""RITM"", ""SNX"", ""SON"", ""SSB"", ""UAL""]",e3124346bd9843c558800226ba5a43c9b4eae19de16c626a1c84e77bb44c7abe
A,0,2023-12-29,quality,fcf_roe_value,0.5,706816.76513935137,0.5,15,"[""ALSN"", ""BLDR"", ""CHRW"", ""CROX"", ""DVA"", ""GM"", ""HRB"", ""LEN"", ""MOH"", ""PHM"", ""THC"", ""TOL"", ""V"", ""VZ"", ""WU""]",1c346cfbedfb3a60c8b1ca56c5a704e194d3e8b094dbbdff7e4c471f9d41e088
A,0,2024-06-28,growth,growth_value,0.5,776563.15006522427,0.5,30,"[""ACGL"", ""AM"", ""APO"", ""AXP"", ""BYD"", ""CCL"", ""CPAY"", ""CPNG"", ""CVNA"", ""DAL"", ""EEFT"", ""EOG"", ""EXPE"", ""F"", ""FRHC"", ""GL"", ""HALO"", ""KNSL"", ""KO"", ""LEA"", ""MPC"", ""MTB"", ""PEG"", ""RNR"", ""TGT"", ""VICI"", ""VLO"", ""VOYA"", ""WFRD"", ""WSC""]",88b1110612188f9c7259ff05c78fae2d77fc01f3e403133c34a86687518f3e12
A,0,2024-06-28,quality,fcf_roe_value,0.5,776563.15006522427,0.5,27,"[""ADM"", ""AGCO"", ""ALSN"", ""AM"", ""ARW"", ""BG"", ""BYD"", ""CE"", ""CF"", ""CNH"", ""CNM"", ""CROX"", ""EOG"", ""GM"", ""HOG"", ""MGM"", ""MIDD"", ""MPC"", ""NEU"", ""NUE"", ""OLN"", ""THC"", ""TOL"", ""V"", ""VZ"", ""WCC"", ""WU""]",94f14afca6dbd7f4fbedf6fb5020fdf9bc2c7332433cca2f0c5d5a91108251da
A,0,2024-12-31,growth,growth_value,0.5,805989.68944756151,0.5,30,"[""ACGL"", ""AIZ"", ""AM"", ""AMP"", ""CROX"", ""DAL"", ""EEFT"", ""EOG"", ""EXPE"", ""F"", ""FITB"", ""FRHC"", ""GEN"", ""GL"", ""HOOD"", ""JPM"", ""KNSL"", ""MGM"", ""MPC"", ""MTB"", ""NOV"", ""NSA"", ""PEG"", ""PEP"", ""RNR"", ""SJM"", ""VICI"", ""VLO"", ""VOYA"", ""WFRD""]",495a98bb9066b560dbf860752b3f31276a137ebe959a053b9928719d4e60f676
A,0,2024-12-31,quality,fcf_roe_value,0.5,805989.68944756151,0.5,25,"[""ADM"", ""AM"", ""ARW"", ""BLDR"", ""CE"", ""CF"", ""CROX"", ""DVA"", ""DVN"", ""EOG"", ""GM"", ""HAL"", ""HOG"", ""LEN"", ""MGM"", ""MIDD"", ""MPC"", ""OLN"", ""OVV"", ""SLGN"", ""TDC"", ""THC"", ""V"", ""VZ"", ""WU""]",d78a1703526d63fab74a03b4a5b7b27f80f2f185a55ee52d67154cdbb390bb43
A,0,2025-06-30,growth,growth_value,0.5,812379.74761086982,0.50000000000000011,30,"[""ALK"", ""CCL"", ""DUK"", ""DVA"", ""EVRG"", ""EXPE"", ""FITB"", ""FNF"", ""FTI"", ""HALO"", ""HOOD"", ""IBKR"", ""IRDM"", ""KNSL"", ""LAZ"", ""LNC"", ""LVS"", ""META"", ""MRK"", ""MUSA"", ""NVR"", ""PEP"", ""PGR"", ""SYF"", ""UAL"", ""VIRT"", ""VST"", ""WFRD"", ""WMT"", ""XOM""]",05b86589d826e3910a16967176401ab5f769bf5ccd489625fcec088b3f081aa0
A,0,2025-06-30,quality,fcf_roe_value,0.5,812379.74761086958,0.49999999999999994,23,"[""APA"", ""BLDR"", ""CF"", ""CROX"", ""DAL"", ""DVA"", ""DVN"", ""EEFT"", ""EOG"", ""EXPE"", ""HAL"", ""HOG"", ""INGR"", ""MGM"", ""OC"", ""OMC"", ""SLB"", ""TDC"", ""V"", ""VZ"", ""WEN"", ""WU"", ""YETI""]",2360b6822fbaa7a87a209b24224ba8f58641d34709f06a0f11841c1c78c0c432
A,0,2025-12-31,growth,growth_value,0.5,876795.28582620271,0.5,30,"[""CCL"", ""CI"", ""CROX"", ""CRUS"", ""DUK"", ""DVA"", ""EVR"", ""EVRG"", ""EXPE"", ""FNF"", ""FOUR"", ""FTI"", ""HALO"", ""HHH"", ""IBKR"", ""KBR"", ""KNSL"", ""LAZ"", ""LNC"", ""LVS"", ""MU"", ""MUSA"", ""NLY"", ""PEP"", ""PFG"", ""PGR"", ""PR"", ""QSR"", ""SYF"", ""VIRT""]",090336fbf1735d6e82fb4c42135586ecc39bd8e79dd854ff08e08ffa6fd97b00
A,0,2025-12-31,quality,fcf_roe_value,0.5,876795.28582620271,0.5,18,"[""CF"", ""CHTR"", ""CROX"", ""DAL"", ""DVA"", ""DVN"", ""EEFT"", ""EOG"", ""FOUR"", ""HOG"", ""HRB"", ""LW"", ""MGM"", ""OC"", ""TDC"", ""V"", ""VZ"", ""WU""]",d59624140db7e492e9a14236b544ddb6356a38b4694531da50708eb05788cfd5
A,0,2026-06-30,growth,growth_value,0.5,1029336.9957803014,0.49999999999999994,30,"[""AMT"", ""CACC"", ""CBOE"", ""CF"", ""CRUS"", ""CVNA"", ""D"", ""DLTR"", ""DXCM"", ""EQT"", ""EVR"", ""EXE"", ""FAF"", ""FOX"", ""HALO"", ""IBKR"", ""KEY"", ""KLAC"", ""KNSL"", ""LYFT"", ""MPC"", ""NEM"", ""NI"", ""OMF"", ""PEG"", ""PGR"", ""PNFP"", ""RNR"", ""VIRT"", ""WTM""]",2af978a703cb0c1231235451a568a26a7367732aa3edbf9c465acebed8966a7c
A,0,2026-06-30,quality,fcf_roe_value,0.5,1029336.9957803017,0.50000000000000011,29,"[""ACN"", ""ADBE"", ""ADT"", ""BAH"", ""CHTR"", ""CPB"", ""CTSH"", ""DAL"", ""DOX"", ""DVN"", ""EEFT"", ""EXPE"", ""G"", ""GAP"", ""GDDY"", ""GEN"", ""HRB"", ""INTU"", ""IT"", ""KLAC"", ""LULU"", ""LW"", ""MELI"", ""PYPL"", ""TDC"", ""THC"", ""V"", ""VZ"", ""WU""]",493f60c9655475009dae3a27295cd597e748cc0f6a26e169caf4313e5fd58607
A,10,2021-06-30,growth,growth_value,0.5,499500.49950049934,0.49999999999999978,30,"[""ACGL"", ""ACI"", ""AMKR"", ""BJ"", ""BOKF"", ""CBOE"", ""CBSH"", ""CNC"", ""COKE"", ""DKS"", ""DTE"", ""EVR"", ""EXP"", ""FRHC"", ""GL"", ""HOLX"", ""HRB"", ""LAZ"", ""LPX"", ""MO"", ""PB"", ""PEG"", ""PGR"", ""PRI"", ""SGI"", ""VIRT"", ""VRTX"", ""WSM"", ""WTM"", ""WY""]",62fd1a60a8111d93903ba698558ae84802d80aa973877dc67828180d378545c5
